cuisine,full_ingredients,ingredients_processed
African,"['larg', 'red', 'orang', 'pepper', 'deseed', 'cut', 'bites', 'chunk', 'sweet', 'potato', 'scrub', 'cut', 'bites', 'chunk', 'red', 'onion', 'cut', 'bites', 'chunk', 'cherri', 'tomato', 'tbsp', 'harissa', 'spice', 'mix', 'tbsp', 'oliv', 'oil', 'sea', 'salt', 'freshli', 'ground', 'black', 'pepper']",larg red orang pepper deseed cut bites chunk sweet potato scrub cut bites chunk red onion cut bites chunk cherri tomato tbsp harissa spice mix tbsp oliv oil sea salt freshli ground black pepper
African,"['dri', 'blackey', 'bean', 'sirloin', 'steak', 'cut', 'cube', 'oz', 'veget', 'oil', 'larg', 'onion', 'chop', 'garlic', 'clove', 'fine', 'chop', 'piec', 'fresh', 'root', 'ginger', 'grate', 'tsp', 'dri', 'chilli', 'flake', 'x', 'tin', 'chop', 'tomato', 'tbsp', 'tomato', 'pure', 'beef', 'stock', 'cube', 'sprig', 'fresh', 'thyme', 'scotch', 'bonnet', 'chilli', 'chop', 'ripe', 'plantain', 'peel', 'slice', 'salt', 'freshli', 'ground', 'black', 'pepper']",dri blackey bean sirloin steak cut cube oz veget oil larg onion chop garlic clove fine chop piec fresh root ginger grate tsp dri chilli flake x tin chop tomato tbsp tomato pure beef stock cube sprig fresh thyme scotch bonnet chilli chop ripe plantain peel slice salt freshli ground black pepper
African,"['oz', 'oliv', 'oil', 'onion', 'chop', 'garlic', 'clove', 'crush', 'lamb', 'minc', 'tbsp', 'hot', 'curri', 'powder', 'lemon', 'juic', 'zest', 'tbsp', 'mango', 'chutney', 'sultana', 'toast', 'almond', 'slice', 'white', 'bread', 'soak', 'milk', 'minut', 'squeez', 'dri', 'salt', 'freshli', 'ground', 'black', 'pepper', 'bay', 'leav', 'freerang', 'egg', 'oz', 'milk', 'rice', 'cook', 'accord', 'packet', 'instruct', 'chutney', 'choic', 'yoghurt']",oz oliv oil onion chop garlic clove crush lamb minc tbsp hot curri powder lemon juic zest tbsp mango chutney sultana toast almond slice white bread soak milk minut squeez dri salt freshli ground black pepper bay leav freerang egg oz milk rice cook accord packet instruct chutney choic yoghurt
African,"['butter', 'greas', 'oz', 'fullfat', 'milk', 'fresh', 'white', 'breadcrumb', 'larg', 'freerang', 'egg', 'beaten', 'tbsp', 'oliv', 'oil', 'lamb', 'minc', 'onion', 'fine', 'chop', 'bay', 'leaf', 'garlic', 'clove', 'crush', 'tbsp', 'madra', 'curri', 'past', 'oz', 'lamb', 'stock', 'tbsp', 'worcestershir', 'sauc', 'tbsp', 'mango', 'chutney', 'raisin', 'dri', 'apricot', 'chop', 'tbsp', 'cider', 'vinegar']",butter greas oz fullfat milk fresh white breadcrumb larg freerang egg beaten tbsp oliv oil lamb minc onion fine chop bay leaf garlic clove crush tbsp madra curri past oz lamb stock tbsp worcestershir sauc tbsp mango chutney raisin dri apricot chop tbsp cider vinegar
African,"['tbsp', 'oliv', 'oil', 'onion', 'thinli', 'slice', 'garlic', 'clove', 'fine', 'chop', 'green', 'chilli', 'fine', 'chop', 'thumbsiz', 'piec', 'fresh', 'ginger', 'root', 'peel', 'fine', 'chop', 'fresh', 'curri', 'leav', 'tsp', 'ground', 'cumin', 'tsp', 'fennel', 'seed', 'tsp', 'ground', 'coriand', 'tsp', 'ground', 'turmer', 'tsp', 'black', 'mustard', 'seed', 'tbsp', 'tomato', 'pure', 'plum', 'tomato', 'fine', 'chop', 'tamarind', 'past', 'raw', 'king', 'prawn', 'peel', 'devein', 'salt', 'freshli', 'ground', 'black', 'pepper', 'small', 'unslic', 'whole', 'white', 'bread', 'loav', 'cut', 'half', 'hollow', 'tbsp', 'toast', 'coconut', 'flake', 'tbsp', 'fri', 'curri', 'leav', 'tbsp', 'fresh', 'coriand', 'cress', 'tbsp', 'fresh', 'basil', 'cress']",tbsp oliv oil onion thinli slice garlic clove fine chop green chilli fine chop thumbsiz piec fresh ginger root peel fine chop fresh curri leav tsp ground cumin tsp fennel seed tsp ground coriand tsp ground turmer tsp black mustard seed tbsp tomato pure plum tomato fine chop tamarind past raw king prawn peel devein salt freshli ground black pepper small unslic whole white bread loav cut half hollow tbsp toast coconut flake tbsp fri curri leav tbsp fresh coriand cress tbsp fresh basil cress
African,"['tbsp', 'veget', 'oil', 'tsp', 'cumin', 'seed', 'tsp', 'fennel', 'seed', 'piec', 'cinnamon', 'stick', 'green', 'cardamom', 'pod', 'star', 'anis', 'bay', 'leaf', 'onion', 'fine', 'chop', 'tbsp', 'south', 'african', 'curri', 'powder', 'tomato', 'chop', 'boneless', 'leg', 'lamb', 'cut', 'dice', 'tbsp', 'fine', 'chop', 'fresh', 'ginger', 'tbsp', 'fine', 'chop', 'garlic', 'curri', 'leav', 'larg', 'potato', 'cut', 'cube', 'size', 'meat', 'salt', 'tbsp', 'fine', 'chop', 'coriand', 'leav', 'tbsp', 'lime', 'juic', 'loav', 'crusti', 'white', 'bread', 'unslic', 'cut', 'across', 'half', 'middl', 'crumb', 'remov', 'coriand', 'cress', 'sprig', 'garnish']",tbsp veget oil tsp cumin seed tsp fennel seed piec cinnamon stick green cardamom pod star anis bay leaf onion fine chop tbsp south african curri powder tomato chop boneless leg lamb cut dice tbsp fine chop fresh ginger tbsp fine chop garlic curri leav larg potato cut cube size meat salt tbsp fine chop coriand leav tbsp lime juic loav crusti white bread unslic cut across half middl crumb remov coriand cress sprig garnish
African,"['tsp', 'clove', 'tsp', 'fennel', 'seed', 'tsp', 'black', 'mustard', 'seed', 'cardamom', 'pod', 'seed', 'tsp', 'black', 'peppercorn', 'tsp', 'ground', 'cumin', 'dri', 'red', 'chilli', 'tsp', 'coriand', 'seed', 'tbsp', 'ground', 'turmer', 'cinnamon', 'stick', 'tsp', 'ground', 'ginger', 'curri', 'leav', 'hand', 'dri', 'apricot', 'tbsp', 'oliv', 'oil', 'red', 'onion', 'roughli', 'chop', 'red', 'pepper', 'seed', 'remov', 'roughli', 'chop', 'yellow', 'pepper', 'seed', 'remov', 'roughli', 'chop', 'garlic', 'clove', 'fine', 'chop', 'small', 'cauliflow', 'cut', 'bites', 'piec', 'tin', 'chickpea', 'drain', 'rins', 'hand', 'green', 'bean', 'roughli', 'chop', 'heap', 'tbsp', 'peach', 'chutney', 'tbsp', 'roughli', 'chop', 'parsley', 'longgrain', 'rice', 'serv', 'flatbread', 'serv']",tsp clove tsp fennel seed tsp black mustard seed cardamom pod seed tsp black peppercorn tsp ground cumin dri red chilli tsp coriand seed tbsp ground turmer cinnamon stick tsp ground ginger curri leav hand dri apricot tbsp oliv oil red onion roughli chop red pepper seed remov roughli chop yellow pepper seed remov roughli chop garlic clove fine chop small cauliflow cut bites piec tin chickpea drain rins hand green bean roughli chop heap tbsp peach chutney tbsp roughli chop parsley longgrain rice serv flatbread serv
African,"['tbsp', 'oliv', 'oil', 'larg', 'onion', 'slice', 'boneless', 'skinless', 'chicken', 'thigh', 'breast', 'fresh', 'coriand', 'fine', 'chop', 'garlic', 'clove', 'crush', 'tsp', 'ra', 'el', 'hanout', 'tsp', 'ground', 'turmer', 'tsp', 'ground', 'ginger', 'tsp', 'ground', 'black', 'pepper', 'oz', 'chicken', 'stock', 'tbsp', 'runni', 'honey', 'tsp', 'ground', 'cinnamon', 'plu', 'extra', 'dust', 'blanch', 'almond', 'shell', 'unsalt', 'pistachio', 'nut', 'tbsp', 'caster', 'sugar', 'unsalt', 'butter', 'larg', 'freerang', 'egg', 'filo', 'pastri', 'sheet', 'lemon', 'fine', 'grate', 'zest', 'freerang', 'egg', 'yolk', 'ice', 'sugar', 'dust', 'salt', 'tbsp', 'oliv', 'oil', 'tbsp', 'dri', 'thyme', 'tsp', 'lemon', 'juic', 'orang', 'peel', 'segment', 'carrot', 'peel', 'cut', 'thick', 'ribbon', 'larg', 'cucumb', 'peel', 'cut', 'thick', 'ribbon', 'black', 'oliv', 'pit', 'chop', 'walnut', 'roughli', 'chop', 'sea', 'salt', 'flake']",tbsp oliv oil larg onion slice boneless skinless chicken thigh breast fresh coriand fine chop garlic clove crush tsp ra el hanout tsp ground turmer tsp ground ginger tsp ground black pepper oz chicken stock tbsp runni honey tsp ground cinnamon plu extra dust blanch almond shell unsalt pistachio nut tbsp caster sugar unsalt butter larg freerang egg filo pastri sheet lemon fine grate zest freerang egg yolk ice sugar dust salt tbsp oliv oil tbsp dri thyme tsp lemon juic orang peel segment carrot peel cut thick ribbon larg cucumb peel cut thick ribbon black oliv pit chop walnut roughli chop sea salt flake
African,"['peppercorn', 'cardamom', 'pod', 'clove', 'tbsp', 'oil', 'larg', 'onion', 'slice', 'piec', 'cook', 'chorizo', 'oz', 'chicken', 'stock', 'cinnamon', 'stick', 'root', 'ginger', 'grate', 'green', 'chilli', 'chop', 'goat', 'leg', 'steak', 'lb', 'new', 'potato', 'halv', 'lengthway', 'tomato', 'quarter', 'tbsp', 'chop', 'fresh', 'parsley', 'sea', 'salt', 'freshli', 'ground', 'black', 'pepper']",peppercorn cardamom pod clove tbsp oil larg onion slice piec cook chorizo oz chicken stock cinnamon stick root ginger grate green chilli chop goat leg steak lb new potato halv lengthway tomato quarter tbsp chop fresh parsley sea salt freshli ground black pepper
African,"['salt', 'tsp', 'coriand', 'seed', 'tsp', 'fennel', 'seed', 'star', 'anis', 'tbsp', 'roughli', 'chop', 'stem', 'ginger', 'pork', 'chop', 'trim', 'dri', 'apricot', 'raisin', 'black', 'mustard', 'seed', 'white', 'mustard', 'seed', 'caster', 'sugar', 'oz', 'cider', 'vinegar', 'ground', 'almond', 'hand', 'dri', 'apricot', 'fine', 'chop', 'red', 'chilli', 'fine', 'chop', 'hand', 'fresh', 'coriand', 'leav', 'mooli', 'thinli', 'slice', 'black', 'radish', 'thinli', 'slice', 'breakfast', 'radish', 'thinli', 'slice', 'oliv', 'oil', 'drizzl', 'salt', 'freshli', 'ground', 'black', 'pepper', 'watercress', 'serv']",salt tsp coriand seed tsp fennel seed star anis tbsp roughli chop stem ginger pork chop trim dri apricot raisin black mustard seed white mustard seed caster sugar oz cider vinegar ground almond hand dri apricot fine chop red chilli fine chop hand fresh coriand leav mooli thinli slice black radish thinli slice breakfast radish thinli slice oliv oil drizzl salt freshli ground black pepper watercress serv
